,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
0,ADAMS,"SHAPIRO , JOSHUA D",DEM,31.69%,"17,707",6759,10798,150
1,ADAMS,"HEIDELBAUGH, HEATHER S",REP,65.27%,"36,476",28696,7368,412
2,ADAMS,"WASSMER, DANIEL",LIB,2.12%,"1,183",853,316,14
3,ADAMS,"WEISS, RICHARD L",GRN,0.93%,518,300,210,8
4,ALLEGHENY,"SHAPIRO , JOSHUA D",DEM,62.21%,"443,523",161321,274082,8120
5,ALLEGHENY,"HEIDELBAUGH, HEATHER S",REP,34.58%,"246,537",183538,57720,5279
6,ALLEGHENY,"WASSMER, DANIEL",LIB,1.91%,"13,619",8948,4337,334
7,ALLEGHENY,"WEISS, RICHARD L",GRN,1.30%,"9,236",4317,4695,224
8,ARMSTRONG,"SHAPIRO , JOSHUA D",DEM,29.57%,"10,673",6097,4464,112
9,ARMSTRONG,"HEIDELBAUGH, HEATHER S",REP,68.07%,"24,569",21817,2453,299
10,ARMSTRONG,"WASSMER, DANIEL",LIB,1.69%,609,514,90,5
11,ARMSTRONG,"WEISS, RICHARD L",GRN,0.67%,242,175,66,1
12,BEAVER,"SHAPIRO , JOSHUA D",DEM,46.48%,"43,446",21432,21274,740
13,BEAVER,"HEIDELBAUGH, HEATHER S",REP,50.62%,"47,316",39709,6920,687
14,BEAVER,"WASSMER, DANIEL",LIB,1.94%,"1,817",1360,413,44
15,BEAVER,"WEISS, RICHARD L",GRN,0.96%,897,598,282,17
16,BEDFORD,"SHAPIRO , JOSHUA D",DEM,17.39%,"4,743",2194,2492,57
17,BEDFORD,"HEIDELBAUGH, HEATHER S",REP,80.98%,"22,088",18811,2936,341
18,BEDFORD,"WASSMER, DANIEL",LIB,1.14%,312,254,56,2
19,BEDFORD,"WEISS, RICHARD L",GRN,0.49%,134,88,43,3
20,BERKS,"SHAPIRO , JOSHUA D",DEM,45.73%,"92,774",44270,46525,1979
21,BERKS,"HEIDELBAUGH, HEATHER S",REP,50.95%,"103,359",85160,16287,1912
22,BERKS,"WASSMER, DANIEL",LIB,2.16%,"4,391",3315,975,101
23,BERKS,"WEISS, RICHARD L",GRN,1.15%,"2,334",1470,808,56
24,BLAIR,"SHAPIRO , JOSHUA D",DEM,27.73%,"17,511",8216,9085,210
25,BLAIR,"HEIDELBAUGH, HEATHER S",REP,69.58%,"43,933",36219,7165,549
26,BLAIR,"WASSMER, DANIEL",LIB,1.76%,"1,109",821,277,11
27,BLAIR,"WEISS, RICHARD L",GRN,0.93%,585,345,233,7
28,BRADFORD,"SHAPIRO , JOSHUA D",DEM,27.06%,"8,000",4292,3613,95
29,BRADFORD,"HEIDELBAUGH, HEATHER S",REP,69.79%,"20,632",17728,2587,317
30,BRADFORD,"WASSMER, DANIEL",LIB,2.18%,645,516,119,10
31,BRADFORD,"WEISS, RICHARD L",GRN,0.97%,286,194,85,7
32,BUCKS,"SHAPIRO , JOSHUA D",DEM,51.10%,"200,335",77943,119580,2812
33,BUCKS,"HEIDELBAUGH, HEATHER S",REP,46.32%,"181,596",139057,39701,2838
34,BUCKS,"WASSMER, DANIEL",LIB,1.69%,"6,620",4505,2013,102
35,BUCKS,"WEISS, RICHARD L",GRN,0.90%,"3,522",1925,1530,67
36,BUTLER,"SHAPIRO , JOSHUA D",DEM,36.30%,"40,708",18708,21464,536
37,BUTLER,"HEIDELBAUGH, HEATHER S",REP,61.06%,"68,477",57214,10387,876
38,BUTLER,"WASSMER, DANIEL",LIB,1.86%,"2,090",1623,433,34
39,BUTLER,"WEISS, RICHARD L",GRN,0.77%,869,558,294,17
40,CAMBRIA,"SHAPIRO , JOSHUA D",DEM,36.34%,"25,441",13676,11448,317
41,CAMBRIA,"HEIDELBAUGH, HEATHER S",REP,61.49%,"43,046",36892,5677,477
42,CAMBRIA,"WASSMER, DANIEL",LIB,1.42%,997,788,194,15
43,CAMBRIA,"WEISS, RICHARD L",GRN,0.75%,523,363,147,13
44,CAMERON,"SHAPIRO , JOSHUA D",DEM,27.90%,673,320,346,7
45,CAMERON,"HEIDELBAUGH, HEATHER S",REP,69.57%,"1,678",1319,340,19
46,CAMERON,"WASSMER, DANIEL",LIB,1.78%,43,34,8,1
47,CAMERON,"WEISS, RICHARD L",GRN,0.75%,18,9,9,0
48,CARBON,"SHAPIRO , JOSHUA D",DEM,37.03%,"12,267",6050,6045,172
49,CARBON,"HEIDELBAUGH, HEATHER S",REP,60.17%,"19,932",16860,2785,287
50,CARBON,"WASSMER, DANIEL",LIB,1.91%,632,483,139,10
51,CARBON,"WEISS, RICHARD L",GRN,0.89%,295,194,95,6
52,CENTRE,"SHAPIRO , JOSHUA D",DEM,49.74%,"38,198",14283,23631,284
53,CENTRE,"HEIDELBAUGH, HEATHER S",REP,46.88%,"36,006",28029,7677,300
54,CENTRE,"WASSMER, DANIEL",LIB,2.11%,"1,617",1072,529,16
55,CENTRE,"WEISS, RICHARD L",GRN,1.28%,981,462,508,11
56,CHESTER,"SHAPIRO , JOSHUA D",DEM,54.24%,"169,452",57638,109975,1839
57,CHESTER,"HEIDELBAUGH, HEATHER S",REP,43.10%,"134,649",97610,35587,1452
58,CHESTER,"WASSMER, DANIEL",LIB,1.72%,"5,371",3399,1889,83
59,CHESTER,"WEISS, RICHARD L",GRN,0.95%,"2,964",1355,1563,46
60,CLARION,"SHAPIRO , JOSHUA D",DEM,28.77%,"5,561",3035,2493,33
61,CLARION,"HEIDELBAUGH, HEATHER S",REP,68.93%,"13,324",11680,1486,158
62,CLARION,"WASSMER, DANIEL",LIB,1.59%,307,245,57,5
63,CLARION,"WEISS, RICHARD L",GRN,0.71%,138,103,32,3
64,CLEARFIELD,"SHAPIRO , JOSHUA D",DEM,27.56%,"10,751",5791,4870,90
65,CLEARFIELD,"HEIDELBAUGH, HEATHER S",REP,70.02%,"27,318",23890,3228,200
66,CLEARFIELD,"WASSMER, DANIEL",LIB,1.73%,674,538,131,5
67,CLEARFIELD,"WEISS, RICHARD L",GRN,0.69%,269,200,65,4
68,CLINTON,"SHAPIRO , JOSHUA D",DEM,34.77%,"6,075",3205,2779,91
69,CLINTON,"HEIDELBAUGH, HEATHER S",REP,62.68%,"10,950",9363,1369,218
70,CLINTON,"WASSMER, DANIEL",LIB,1.77%,309,241,62,6
71,CLINTON,"WEISS, RICHARD L",GRN,0.78%,137,83,53,1
72,COLUMBIA,"SHAPIRO , JOSHUA D",DEM,38.06%,"11,705",5948,5647,110
73,COLUMBIA,"HEIDELBAUGH, HEATHER S",REP,58.56%,"18,010",15282,2509,219
74,COLUMBIA,"WASSMER, DANIEL",LIB,2.21%,681,515,157,9
75,COLUMBIA,"WEISS, RICHARD L",GRN,1.17%,360,235,121,4
76,CRAWFORD,"SHAPIRO , JOSHUA D",DEM,32.25%,"13,344",6636,6437,271
77,CRAWFORD,"HEIDELBAUGH, HEATHER S",REP,64.70%,"26,766",22622,3663,481
78,CRAWFORD,"WASSMER, DANIEL",LIB,2.02%,835,631,180,24
79,CRAWFORD,"WEISS, RICHARD L",GRN,1.03%,426,304,116,6
80,CUMBERLAND,"SHAPIRO , JOSHUA D",DEM,42.87%,"60,141",24392,35181,568
81,CUMBERLAND,"HEIDELBAUGH, HEATHER S",REP,54.19%,"76,012",59681,15582,749
82,CUMBERLAND,"WASSMER, DANIEL",LIB,2.01%,"2,825",1980,804,41
83,CUMBERLAND,"WEISS, RICHARD L",GRN,0.93%,"1,301",678,606,17
84,DAUPHIN,"SHAPIRO , JOSHUA D",DEM,53.94%,"78,651",36216,40911,1524
85,DAUPHIN,"HEIDELBAUGH, HEATHER S",REP,42.94%,"62,622",49917,11635,1070
86,DAUPHIN,"WASSMER, DANIEL",LIB,1.98%,"2,891",2037,787,67
87,DAUPHIN,"WEISS, RICHARD L",GRN,1.14%,"1,659",952,657,50
88,DELAWARE,"SHAPIRO , JOSHUA D",DEM,60.62%,"196,128",90226,101656,4246
89,DELAWARE,"HEIDELBAUGH, HEATHER S",REP,37.16%,"120,232",94816,23245,2171
90,DELAWARE,"WASSMER, DANIEL",LIB,1.40%,"4,518",3072,1328,118
91,DELAWARE,"WEISS, RICHARD L",GRN,0.82%,"2,666",1469,1128,69
92,ELK,"SHAPIRO , JOSHUA D",DEM,29.84%,"4,997",2761,2182,54
93,ELK,"HEIDELBAUGH, HEATHER S",REP,67.79%,"11,353",9705,1518,130
94,ELK,"WASSMER, DANIEL",LIB,1.58%,264,217,44,3
95,ELK,"WEISS, RICHARD L",GRN,0.80%,134,99,32,3
96,ERIE,"SHAPIRO , JOSHUA D",DEM,51.91%,"69,548",32608,35992,948
97,ERIE,"HEIDELBAUGH, HEATHER S",REP,44.54%,"59,664",48150,10691,823
98,ERIE,"WASSMER, DANIEL",LIB,2.23%,"2,992",2207,726,59
99,ERIE,"WEISS, RICHARD L",GRN,1.32%,"1,765",1173,553,39
100,FAYETTE,"SHAPIRO , JOSHUA D",DEM,40.00%,"24,377",12297,11387,693
101,FAYETTE,"HEIDELBAUGH, HEATHER S",REP,58.02%,"35,364",30481,4068,815
102,FAYETTE,"WASSMER, DANIEL",LIB,1.30%,791,603,161,27
103,FAYETTE,"WEISS, RICHARD L",GRN,0.68%,416,275,130,11
104,FOREST,"SHAPIRO , JOSHUA D",DEM,32.81%,859,410,446,3
105,FOREST,"HEIDELBAUGH, HEATHER S",REP,64.74%,"1,695",1422,260,13
106,FOREST,"WASSMER, DANIEL",LIB,1.45%,38,34,3,1
107,FOREST,"WEISS, RICHARD L",GRN,0.99%,26,20,6,0
108,FRANKLIN,"SHAPIRO , JOSHUA D",DEM,27.51%,"21,874",9720,11930,224
109,FRANKLIN,"HEIDELBAUGH, HEATHER S",REP,69.68%,"55,408",46807,8100,501
110,FRANKLIN,"WASSMER, DANIEL",LIB,1.93%,"1,531",1161,354,16
111,FRANKLIN,"WEISS, RICHARD L",GRN,0.89%,708,461,233,14
112,FULTON,"SHAPIRO , JOSHUA D",DEM,14.17%,"1,109",596,497,16
113,FULTON,"HEIDELBAUGH, HEATHER S",REP,83.88%,"6,563",5782,673,108
114,FULTON,"WASSMER, DANIEL",LIB,1.47%,115,88,26,1
115,FULTON,"WEISS, RICHARD L",GRN,0.47%,37,28,8,1
116,GREENE,"SHAPIRO , JOSHUA D",DEM,36.07%,"6,227",3233,2950,44
117,GREENE,"HEIDELBAUGH, HEATHER S",REP,61.18%,"10,563",9222,1224,117
118,GREENE,"WASSMER, DANIEL",LIB,1.60%,277,221,55,1
119,GREENE,"WEISS, RICHARD L",GRN,1.15%,198,165,31,2
120,HUNTINGDON,"SHAPIRO , JOSHUA D",DEM,24.69%,"5,559",2944,2574,41
121,HUNTINGDON,"HEIDELBAUGH, HEATHER S",REP,73.09%,"16,455",14503,1872,80
122,HUNTINGDON,"WASSMER, DANIEL",LIB,1.53%,344,280,62,2
123,HUNTINGDON,"WEISS, RICHARD L",GRN,0.69%,156,100,53,3
124,INDIANA,"SHAPIRO , JOSHUA D",DEM,36.77%,"15,013",7796,7045,172
125,INDIANA,"HEIDELBAUGH, HEATHER S",REP,60.76%,"24,809",21299,3288,222
126,INDIANA,"WASSMER, DANIEL",LIB,1.62%,661,519,129,13
127,INDIANA,"WEISS, RICHARD L",GRN,0.85%,345,230,111,4
128,JEFFERSON,"SHAPIRO , JOSHUA D",DEM,23.16%,"5,290",2831,2176,55
129,JEFFERSON,"HEIDELBAUGH, HEATHER S",REP,74.44%,"17,002",14895,1857,208
130,JEFFERSON,"WASSMER, DANIEL",LIB,1.76%,402,325,70,5
131,JEFFERSON,"WEISS, RICHARD L",GRN,0.63%,145,105,35,4
132,JUNIATA,"SHAPIRO , JOSHUA D",DEM,22.30%,"2,648",1484,1144,20
133,JUNIATA,"HEIDELBAUGH, HEATHER S",REP,75.36%,"8,950",7747,1132,71
134,JUNIATA,"WASSMER, DANIEL",LIB,1.66%,197,156,40,1
135,JUNIATA,"WEISS, RICHARD L",GRN,0.69%,82,60,22,0
136,LACKAWANNA,"SHAPIRO , JOSHUA D",DEM,59.03%,"66,748",33205,32624,919
137,LACKAWANNA,"HEIDELBAUGH, HEATHER S",REP,38.28%,"43,289",35303,7298,688
138,LACKAWANNA,"WASSMER, DANIEL",LIB,1.62%,"1,832",1345,446,41
139,LACKAWANNA,"WEISS, RICHARD L",GRN,1.07%,"1,205",752,432,21
140,LANCASTER,"SHAPIRO , JOSHUA D",DEM,39.62%,"109,568",49216,58318,2034
141,LANCASTER,"HEIDELBAUGH, HEATHER S",REP,57.56%,"159,165",128506,28157,2502
142,LANCASTER,"WASSMER, DANIEL",LIB,1.96%,"5,414",3975,1308,131
143,LANCASTER,"WEISS, RICHARD L",GRN,0.87%,"2,394",1436,896,62
144,LAWRENCE,"SHAPIRO , JOSHUA D",DEM,41.36%,"18,735",10034,8528,173
145,LAWRENCE,"HEIDELBAUGH, HEATHER S",REP,56.08%,"25,399",21702,3499,198
146,LAWRENCE,"WASSMER, DANIEL",LIB,1.71%,776,607,161,8
147,LAWRENCE,"WEISS, RICHARD L",GRN,0.85%,383,274,107,2
148,LEBANON,"SHAPIRO , JOSHUA D",DEM,33.65%,"23,756",9807,13422,527
149,LEBANON,"HEIDELBAUGH, HEATHER S",REP,63.34%,"44,716",36119,7830,767
150,LEBANON,"WASSMER, DANIEL",LIB,2.09%,"1,472",1115,322,35
151,LEBANON,"WEISS, RICHARD L",GRN,0.92%,650,382,245,23
152,LEHIGH,"SHAPIRO , JOSHUA D",DEM,52.93%,"96,029",38961,55647,1421
153,LEHIGH,"HEIDELBAUGH, HEATHER S",REP,43.91%,"79,664",60918,17521,1225
154,LEHIGH,"WASSMER, DANIEL",LIB,2.01%,"3,649",2516,1048,85
155,LEHIGH,"WEISS, RICHARD L",GRN,1.14%,"2,070",1194,832,44
156,LUZERNE,"SHAPIRO , JOSHUA D",DEM,48.79%,"73,325",31218,40812,1295
157,LUZERNE,"HEIDELBAUGH, HEATHER S",REP,48.60%,"73,051",57891,13695,1465
158,LUZERNE,"WASSMER, DANIEL",LIB,1.69%,"2,533",1844,640,49
159,LUZERNE,"WEISS, RICHARD L",GRN,0.92%,"1,388",836,534,18
160,LYCOMING,"SHAPIRO , JOSHUA D",DEM,30.65%,"18,048",9919,7880,249
161,LYCOMING,"HEIDELBAUGH, HEATHER S",REP,66.48%,"39,148",34135,4484,529
162,LYCOMING,"WASSMER, DANIEL",LIB,2.01%,"1,181",920,241,20
163,LYCOMING,"WEISS, RICHARD L",GRN,0.86%,509,344,152,13
164,McKEAN,"SHAPIRO , JOSHUA D",DEM,25.96%,"4,972",2779,2193,0
165,McKEAN,"HEIDELBAUGH, HEATHER S",REP,71.18%,"13,635",11826,1809,0
166,McKEAN,"WASSMER, DANIEL",LIB,1.91%,365,308,57,0
167,McKEAN,"WEISS, RICHARD L",GRN,0.96%,183,135,48,0
