,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
0,ADAMS,"AHMAD, NILOFER NINA",DEM,28.55%,"15,859",5688,10039,132
1,ADAMS,"DEFOOR, TIMOTHY  L",REP,66.74%,"37,076",29003,7658,415
2,ADAMS,"MOORE, JENNIFER LYNN",LIB,3.62%,"2,010",1415,572,23
3,ADAMS,"FAISON, OLIVIA",GRN,1.10%,609,342,260,7
4,ALLEGHENY,"AHMAD, NILOFER NINA",DEM,56.40%,"397,204",139101,250774,7329
5,ALLEGHENY,"DEFOOR, TIMOTHY  L",REP,39.17%,"275,870",197572,72588,5710
6,ALLEGHENY,"MOORE, JENNIFER LYNN",LIB,3.01%,"21,166",13355,7288,523
7,ALLEGHENY,"FAISON, OLIVIA",GRN,1.42%,"9,967",4582,5151,234
8,ARMSTRONG,"AHMAD, NILOFER NINA",DEM,22.99%,"8,231",4297,3854,80
9,ARMSTRONG,"DEFOOR, TIMOTHY  L",REP,72.85%,"26,089",22903,2874,312
10,ARMSTRONG,"MOORE, JENNIFER LYNN",LIB,3.39%,"1,213",977,222,14
11,ARMSTRONG,"FAISON, OLIVIA",GRN,0.77%,277,206,66,5
12,BEAVER,"AHMAD, NILOFER NINA",DEM,39.02%,"36,281",17040,18581,660
13,BEAVER,"DEFOOR, TIMOTHY  L",REP,55.97%,"52,045",42466,8840,739
14,BEAVER,"MOORE, JENNIFER LYNN",LIB,3.83%,"3,562",2628,873,61
15,BEAVER,"FAISON, OLIVIA",GRN,1.18%,"1,096",679,395,22
16,BEDFORD,"AHMAD, NILOFER NINA",DEM,14.02%,"3,801",1570,2194,37
17,BEDFORD,"DEFOOR, TIMOTHY  L",REP,83.06%,"22,524",19063,3113,348
18,BEDFORD,"MOORE, JENNIFER LYNN",LIB,2.30%,623,484,127,12
19,BEDFORD,"FAISON, OLIVIA",GRN,0.62%,169,112,54,3
20,BERKS,"AHMAD, NILOFER NINA",DEM,41.73%,"83,972",39417,42759,1796
21,BERKS,"DEFOOR, TIMOTHY  L",REP,53.44%,"107,553",87071,18468,2014
22,BERKS,"MOORE, JENNIFER LYNN",LIB,3.49%,"7,017",5012,1854,151
23,BERKS,"FAISON, OLIVIA",GRN,1.34%,"2,705",1700,947,58
24,BLAIR,"AHMAD, NILOFER NINA",DEM,24.29%,"15,256",6718,8355,183
25,BLAIR,"DEFOOR, TIMOTHY  L",REP,71.41%,"44,847",36811,7478,558
26,BLAIR,"MOORE, JENNIFER LYNN",LIB,3.30%,"2,072",1518,526,28
27,BLAIR,"FAISON, OLIVIA",GRN,1.00%,625,377,240,8
28,BRADFORD,"AHMAD, NILOFER NINA",DEM,23.45%,"6,867",3574,3208,85
29,BRADFORD,"DEFOOR, TIMOTHY  L",REP,71.18%,"20,846",17810,2716,320
30,BRADFORD,"MOORE, JENNIFER LYNN",LIB,4.29%,"1,256",935,303,18
31,BRADFORD,"FAISON, OLIVIA",GRN,1.09%,319,219,96,4
32,BUCKS,"AHMAD, NILOFER NINA",DEM,46.73%,"181,946",68130,111212,2604
33,BUCKS,"DEFOOR, TIMOTHY  L",REP,49.73%,"193,628",144959,45693,2976
34,BUCKS,"MOORE, JENNIFER LYNN",LIB,2.55%,"9,916",6548,3224,144
35,BUCKS,"FAISON, OLIVIA",GRN,0.99%,"3,872",2087,1711,74
36,BUTLER,"AHMAD, NILOFER NINA",DEM,30.01%,"33,274",14413,18435,426
37,BUTLER,"DEFOOR, TIMOTHY  L",REP,65.80%,"72,957",59740,12290,927
38,BUTLER,"MOORE, JENNIFER LYNN",LIB,3.28%,"3,632",2713,847,72
39,BUTLER,"FAISON, OLIVIA",GRN,0.92%,"1,022",612,394,16
40,CAMBRIA,"AHMAD, NILOFER NINA",DEM,29.78%,"20,683",10349,10064,270
41,CAMBRIA,"DEFOOR, TIMOTHY  L",REP,66.07%,"45,886",38813,6566,507
42,CAMBRIA,"MOORE, JENNIFER LYNN",LIB,3.19%,"2,217",1724,459,34
43,CAMBRIA,"FAISON, OLIVIA",GRN,0.96%,668,454,204,10
44,CAMERON,"AHMAD, NILOFER NINA",DEM,21.99%,525,240,278,7
45,CAMERON,"DEFOOR, TIMOTHY  L",REP,71.26%,"1,701",1318,363,20
46,CAMERON,"MOORE, JENNIFER LYNN",LIB,4.94%,118,86,32,0
47,CAMERON,"FAISON, OLIVIA",GRN,1.80%,43,26,17,0
48,CARBON,"AHMAD, NILOFER NINA",DEM,32.19%,"10,575",4981,5451,143
49,CARBON,"DEFOOR, TIMOTHY  L",REP,63.27%,"20,785",17327,3158,300
50,CARBON,"MOORE, JENNIFER LYNN",LIB,3.58%,"1,175",893,261,21
51,CARBON,"FAISON, OLIVIA",GRN,0.97%,318,212,100,6
52,CENTRE,"AHMAD, NILOFER NINA",DEM,45.81%,"34,946",12383,22306,257
53,CENTRE,"DEFOOR, TIMOTHY  L",REP,49.62%,"37,846",28958,8587,301
54,CENTRE,"MOORE, JENNIFER LYNN",LIB,3.24%,"2,471",1655,785,31
55,CENTRE,"FAISON, OLIVIA",GRN,1.33%,"1,015",501,499,15
56,CHESTER,"AHMAD, NILOFER NINA",DEM,50.81%,"158,220",52244,104247,1729
57,CHESTER,"DEFOOR, TIMOTHY  L",REP,45.45%,"141,525",100520,39485,1520
58,CHESTER,"MOORE, JENNIFER LYNN",LIB,2.61%,"8,128",5070,2949,109
59,CHESTER,"FAISON, OLIVIA",GRN,1.13%,"3,510",1640,1818,52
60,CLARION,"AHMAD, NILOFER NINA",DEM,22.09%,"4,247",2157,2064,26
61,CLARION,"DEFOOR, TIMOTHY  L",REP,73.54%,"14,136",12181,1795,160
62,CLARION,"MOORE, JENNIFER LYNN",LIB,3.54%,681,539,131,11
63,CLARION,"FAISON, OLIVIA",GRN,0.83%,159,110,47,2
64,CLEARFIELD,"AHMAD, NILOFER NINA",DEM,22.54%,"8,753",4340,4337,76
65,CLEARFIELD,"DEFOOR, TIMOTHY  L",REP,72.74%,"28,243",24559,3474,210
66,CLEARFIELD,"MOORE, JENNIFER LYNN",LIB,3.90%,"1,513",1181,323,9
67,CLEARFIELD,"FAISON, OLIVIA",GRN,0.82%,319,223,92,4
68,CLINTON,"AHMAD, NILOFER NINA",DEM,29.54%,"5,127",2557,2494,76
69,CLINTON,"DEFOOR, TIMOTHY  L",REP,66.20%,"11,491",9728,1537,226
70,CLINTON,"MOORE, JENNIFER LYNN",LIB,3.36%,583,441,132,10
71,CLINTON,"FAISON, OLIVIA",GRN,0.90%,157,104,50,3
72,COLUMBIA,"AHMAD, NILOFER NINA",DEM,31.87%,"9,707",4625,4987,95
73,COLUMBIA,"DEFOOR, TIMOTHY  L",REP,62.91%,"19,163",16039,2903,221
74,COLUMBIA,"MOORE, JENNIFER LYNN",LIB,3.93%,"1,198",870,312,16
75,COLUMBIA,"FAISON, OLIVIA",GRN,1.29%,392,252,131,9
76,CRAWFORD,"AHMAD, NILOFER NINA",DEM,28.16%,"11,587",5497,5855,235
77,CRAWFORD,"DEFOOR, TIMOTHY  L",REP,67.24%,"27,670",23161,4012,497
78,CRAWFORD,"MOORE, JENNIFER LYNN",LIB,3.41%,"1,405",1076,297,32
79,CRAWFORD,"FAISON, OLIVIA",GRN,1.19%,490,320,164,6
80,CUMBERLAND,"AHMAD, NILOFER NINA",DEM,38.16%,"53,297",20797,32014,486
81,CUMBERLAND,"DEFOOR, TIMOTHY  L",REP,57.38%,"80,146",61634,17719,793
82,CUMBERLAND,"MOORE, JENNIFER LYNN",LIB,3.36%,"4,689",3191,1428,70
83,CUMBERLAND,"FAISON, OLIVIA",GRN,1.11%,"1,544",825,705,14
84,DAUPHIN,"AHMAD, NILOFER NINA",DEM,47.45%,"68,399",29926,37149,1324
85,DAUPHIN,"DEFOOR, TIMOTHY  L",REP,47.90%,"69,050",53538,14328,1184
86,DAUPHIN,"MOORE, JENNIFER LYNN",LIB,3.36%,"4,838",3347,1379,112
87,DAUPHIN,"FAISON, OLIVIA",GRN,1.29%,"1,863",1084,740,39
88,DELAWARE,"AHMAD, NILOFER NINA",DEM,57.12%,"183,869",82986,96852,4031
89,DELAWARE,"DEFOOR, TIMOTHY  L",REP,39.21%,"126,216",98001,26017,2198
90,DELAWARE,"MOORE, JENNIFER LYNN",LIB,2.67%,"8,597",5857,2514,226
91,DELAWARE,"FAISON, OLIVIA",GRN,1.01%,"3,245",1818,1335,92
92,ELK,"AHMAD, NILOFER NINA",DEM,25.53%,"4,248",2223,1982,43
93,ELK,"DEFOOR, TIMOTHY  L",REP,69.79%,"11,611",9864,1613,134
94,ELK,"MOORE, JENNIFER LYNN",LIB,3.69%,614,501,105,8
95,ELK,"FAISON, OLIVIA",GRN,0.98%,163,120,40,3
96,ERIE,"AHMAD, NILOFER NINA",DEM,45.62%,"60,388",27164,32403,821
97,ERIE,"DEFOOR, TIMOTHY  L",REP,48.67%,"64,430",50865,12672,893
98,ERIE,"MOORE, JENNIFER LYNN",LIB,4.43%,"5,865",4160,1596,109
99,ERIE,"FAISON, OLIVIA",GRN,1.28%,"1,699",1066,605,28
100,FAYETTE,"AHMAD, NILOFER NINA",DEM,33.92%,"20,428",9701,10145,582
101,FAYETTE,"DEFOOR, TIMOTHY  L",REP,62.65%,"37,724",31968,4874,882
102,FAYETTE,"MOORE, JENNIFER LYNN",LIB,2.69%,"1,618",1193,369,56
103,FAYETTE,"FAISON, OLIVIA",GRN,0.74%,448,288,146,14
104,FOREST,"AHMAD, NILOFER NINA",DEM,25.12%,652,288,362,2
105,FOREST,"DEFOOR, TIMOTHY  L",REP,70.07%,"1,819",1508,298,13
106,FOREST,"MOORE, JENNIFER LYNN",LIB,3.54%,92,64,26,2
107,FOREST,"FAISON, OLIVIA",GRN,1.27%,33,23,10,0
108,FRANKLIN,"AHMAD, NILOFER NINA",DEM,24.28%,"19,228",7934,11088,206
109,FRANKLIN,"DEFOOR, TIMOTHY  L",REP,71.23%,"56,420",47434,8476,510
110,FRANKLIN,"MOORE, JENNIFER LYNN",LIB,3.49%,"2,767",2094,649,24
111,FRANKLIN,"FAISON, OLIVIA",GRN,1.00%,789,482,294,13
112,FULTON,"AHMAD, NILOFER NINA",DEM,12.07%,938,479,447,12
113,FULTON,"DEFOOR, TIMOTHY  L",REP,85.00%,"6,605",5796,702,107
114,FULTON,"MOORE, JENNIFER LYNN",LIB,2.30%,179,140,33,6
115,FULTON,"FAISON, OLIVIA",GRN,0.63%,49,35,14,0
116,GREENE,"AHMAD, NILOFER NINA",DEM,29.24%,"4,975",2414,2521,40
117,GREENE,"DEFOOR, TIMOTHY  L",REP,65.94%,"11,220",9621,1485,114
118,GREENE,"MOORE, JENNIFER LYNN",LIB,3.57%,607,471,131,5
119,GREENE,"FAISON, OLIVIA",GRN,1.26%,214,165,45,4
120,HUNTINGDON,"AHMAD, NILOFER NINA",DEM,20.96%,"4,687",2299,2360,28
121,HUNTINGDON,"DEFOOR, TIMOTHY  L",REP,74.86%,"16,740",14672,1981,87
122,HUNTINGDON,"MOORE, JENNIFER LYNN",LIB,3.24%,725,590,129,6
123,HUNTINGDON,"FAISON, OLIVIA",GRN,0.94%,210,140,66,4
124,INDIANA,"AHMAD, NILOFER NINA",DEM,29.23%,"11,843",5634,6056,153
125,INDIANA,"DEFOOR, TIMOTHY  L",REP,66.43%,"26,918",22682,4004,232
126,INDIANA,"MOORE, JENNIFER LYNN",LIB,3.40%,"1,378",1070,288,20
127,INDIANA,"FAISON, OLIVIA",GRN,0.95%,384,257,123,4
128,JEFFERSON,"AHMAD, NILOFER NINA",DEM,17.63%,"3,970",2017,1887,40
129,JEFFERSON,"DEFOOR, TIMOTHY  L",REP,78.10%,"17,584",15321,2007,217
130,JEFFERSON,"MOORE, JENNIFER LYNN",LIB,3.55%,800,636,148,13
131,JEFFERSON,"FAISON, OLIVIA",GRN,0.72%,161,109,51,1
132,JUNIATA,"AHMAD, NILOFER NINA",DEM,17.36%,"2,047",1029,1000,18
133,JUNIATA,"DEFOOR, TIMOTHY  L",REP,78.66%,"9,275",7994,1212,69
134,JUNIATA,"MOORE, JENNIFER LYNN",LIB,3.15%,372,293,76,3
135,JUNIATA,"FAISON, OLIVIA",GRN,0.83%,98,70,26,2
136,LACKAWANNA,"AHMAD, NILOFER NINA",DEM,52.91%,"58,857",28137,29917,803
137,LACKAWANNA,"DEFOOR, TIMOTHY  L",REP,42.59%,"47,376",37852,8799,725
138,LACKAWANNA,"MOORE, JENNIFER LYNN",LIB,3.12%,"3,466",2492,896,78
139,LACKAWANNA,"FAISON, OLIVIA",GRN,1.38%,"1,532",949,551,32
140,LANCASTER,"AHMAD, NILOFER NINA",DEM,36.75%,"101,116",44171,55040,1905
141,LANCASTER,"DEFOOR, TIMOTHY  L",REP,59.15%,"162,741",130275,29938,2528
142,LANCASTER,"MOORE, JENNIFER LYNN",LIB,3.10%,"8,543",6231,2098,214
143,LANCASTER,"FAISON, OLIVIA",GRN,1.00%,"2,746",1629,1052,65
144,LAWRENCE,"AHMAD, NILOFER NINA",DEM,34.36%,"15,439",7836,7465,138
145,LAWRENCE,"DEFOOR, TIMOTHY  L",REP,60.95%,"27,383",22964,4198,221
146,LAWRENCE,"MOORE, JENNIFER LYNN",LIB,3.64%,"1,634",1267,354,13
147,LAWRENCE,"FAISON, OLIVIA",GRN,1.05%,473,331,137,5
148,LEBANON,"AHMAD, NILOFER NINA",DEM,29.66%,"20,815",8041,12304,470
149,LEBANON,"DEFOOR, TIMOTHY  L",REP,65.92%,"46,258",36952,8520,786
150,LEBANON,"MOORE, JENNIFER LYNN",LIB,3.36%,"2,359",1718,586,55
151,LEBANON,"FAISON, OLIVIA",GRN,1.05%,736,428,281,27
152,LEHIGH,"AHMAD, NILOFER NINA",DEM,49.23%,"88,859",35349,52158,1352
153,LEHIGH,"DEFOOR, TIMOTHY  L",REP,46.15%,"83,303",62330,19730,1243
154,LEHIGH,"MOORE, JENNIFER LYNN",LIB,3.37%,"6,080",4137,1823,120
155,LEHIGH,"FAISON, OLIVIA",GRN,1.26%,"2,267",1294,924,49
156,LUZERNE,"AHMAD, NILOFER NINA",DEM,42.20%,"62,485",25529,35895,1061
157,LUZERNE,"DEFOOR, TIMOTHY  L",REP,53.42%,"79,084",60636,16870,1578
158,LUZERNE,"MOORE, JENNIFER LYNN",LIB,3.25%,"4,816",3403,1313,100
159,LUZERNE,"FAISON, OLIVIA",GRN,1.13%,"1,668",1022,613,33
160,LYCOMING,"AHMAD, NILOFER NINA",DEM,26.62%,"15,618",8248,7136,234
161,LYCOMING,"DEFOOR, TIMOTHY  L",REP,69.10%,"40,537",35035,4976,526
162,LYCOMING,"MOORE, JENNIFER LYNN",LIB,3.35%,"1,966",1523,405,38
163,LYCOMING,"FAISON, OLIVIA",GRN,0.93%,546,358,177,11
164,McKEAN,"AHMAD, NILOFER NINA",DEM,22.85%,"4,360",2335,2025,0
165,McKEAN,"DEFOOR, TIMOTHY  L",REP,72.27%,"13,789",11930,1859,0
166,McKEAN,"MOORE, JENNIFER LYNN",LIB,3.88%,740,599,141,0
167,McKEAN,"FAISON, OLIVIA",GRN,1.00%,191,133,58,0
168,MERCER,"AHMAD, NILOFER NINA",DEM,33.68%,"19,090",9717,8919,454
169,MERCER,"DEFOOR, TIMOTHY  L",REP,61.82%,"35,045",29183,5152,710
170,MERCER,"MOORE, JENNIFER LYNN",LIB,3.41%,"1,933",1499,385,49
171,MERCER,"FAISON, OLIVIA",GRN,1.09%,617,426,166,25
172,MIFFLIN,"AHMAD, NILOFER NINA",DEM,19.20%,"4,036",1742,2260,34
173,MIFFLIN,"DEFOOR, TIMOTHY  L",REP,76.71%,"16,122",13721,2278,123
174,MIFFLIN,"MOORE, JENNIFER LYNN",LIB,3.22%,677,516,156,5
175,MIFFLIN,"FAISON, OLIVIA",GRN,0.86%,181,121,57,3
176,MONROE,"AHMAD, NILOFER NINA",DEM,49.76%,"40,257",16500,23036,721
177,MONROE,"DEFOOR, TIMOTHY  L",REP,45.41%,"36,738",28114,8003,621
178,MONROE,"MOORE, JENNIFER LYNN",LIB,3.45%,"2,792",1923,823,46
179,MONROE,"FAISON, OLIVIA",GRN,1.39%,"1,123",574,521,28
180,MONTGOMERY,"AHMAD, NILOFER NINA",DEM,56.82%,"284,952",102736,180184,2032
181,MONTGOMERY,"DEFOOR, TIMOTHY  L",REP,38.97%,"195,435",142965,50897,1573
182,MONTGOMERY,"MOORE, JENNIFER LYNN",LIB,2.96%,"14,857",9790,4933,134
183,MONTGOMERY,"FAISON, OLIVIA",GRN,1.25%,"6,252",3118,3085,49
184,MONTOUR,"AHMAD, NILOFER NINA",DEM,35.16%,"3,375",1487,1866,22
185,MONTOUR,"DEFOOR, TIMOTHY  L",REP,60.24%,"5,783",4554,1181,48
186,MONTOUR,"MOORE, JENNIFER LYNN",LIB,3.61%,347,249,97,1
187,MONTOUR,"FAISON, OLIVIA",GRN,0.99%,95,65,29,1
188,NORTHAMPTON,"AHMAD, NILOFER NINA",DEM,46.65%,"76,792",27073,48949,770
189,NORTHAMPTON,"DEFOOR, TIMOTHY  L",REP,49.13%,"80,874",59530,20472,872
190,NORTHAMPTON,"MOORE, JENNIFER LYNN",LIB,3.09%,"5,084",3114,1890,80
191,NORTHAMPTON,"FAISON, OLIVIA",GRN,1.13%,"1,865",906,940,19
192,NORTHUMBERLAND,"AHMAD, NILOFER NINA",DEM,28.30%,"11,713",6461,5062,190
193,NORTHUMBERLAND,"DEFOOR, TIMOTHY  L",REP,66.63%,"27,580",23670,3454,456
194,NORTHUMBERLAND,"MOORE, JENNIFER LYNN",LIB,3.80%,"1,572",1204,334,34
195,NORTHUMBERLAND,"FAISON, OLIVIA",GRN,1.28%,528,358,156,14
196,PERRY,"AHMAD, NILOFER NINA",DEM,20.92%,"5,073",2376,2658,39
197,PERRY,"DEFOOR, TIMOTHY  L",REP,74.59%,"18,089",15393,2541,155
198,PERRY,"MOORE, JENNIFER LYNN",LIB,3.48%,845,677,163,5
199,PERRY,"FAISON, OLIVIA",GRN,1.01%,245,149,94,2
200,PHILADELPHIA,"AHMAD, NILOFER NINA",DEM,79.15%,"555,316",229265,315877,10174
201,PHILADELPHIA,"DEFOOR, TIMOTHY  L",REP,17.53%,"122,995",88788,32120,2087
202,PHILADELPHIA,"MOORE, JENNIFER LYNN",LIB,1.90%,"13,309",8117,4919,273
203,PHILADELPHIA,"FAISON, OLIVIA",GRN,1.42%,"9,978",4315,5514,149
