County,Candidate,Party,Share,Votes
ADAMS,"DUMAS, LORI A",DEM,0.00%,0
ADAMS,"SPURGEON, DAVID LEE",DEM,0.00%,0
ADAMS,"WALLACE, STACY MARIE",REP,0.00%,0
ADAMS,"CROMPTON, DREW",REP,0.00%,0
ALLEGHENY,"DUMAS, LORI A",DEM,0.00%,0
ALLEGHENY,"SPURGEON, DAVID LEE",DEM,0.00%,0
ALLEGHENY,"WALLACE, STACY MARIE",REP,0.00%,0
ALLEGHENY,"CROMPTON, DREW",REP,0.00%,0
ARMSTRONG,"DUMAS, LORI A",DEM,0.00%,0
ARMSTRONG,"SPURGEON, DAVID LEE",DEM,0.00%,0
ARMSTRONG,"WALLACE, STACY MARIE",REP,0.00%,0
ARMSTRONG,"CROMPTON, DREW",REP,0.00%,0
BEAVER,"DUMAS, LORI A",DEM,0.00%,0
BEAVER,"SPURGEON, DAVID LEE",DEM,0.00%,0
BEAVER,"WALLACE, STACY MARIE",REP,0.00%,0
BEAVER,"CROMPTON, DREW",REP,0.00%,0
BEDFORD,"DUMAS, LORI A",DEM,0.00%,0
BEDFORD,"SPURGEON, DAVID LEE",DEM,0.00%,0
BEDFORD,"WALLACE, STACY MARIE",REP,0.00%,0
BEDFORD,"CROMPTON, DREW",REP,0.00%,0
BERKS,"DUMAS, LORI A",DEM,0.00%,0
BERKS,"SPURGEON, DAVID LEE",DEM,0.00%,0
BERKS,"WALLACE, STACY MARIE",REP,0.00%,0
BERKS,"CROMPTON, DREW",REP,0.00%,0
BLAIR,"DUMAS, LORI A",DEM,0.00%,0
BLAIR,"SPURGEON, DAVID LEE",DEM,0.00%,0
BLAIR,"WALLACE, STACY MARIE",REP,0.00%,0
BLAIR,"CROMPTON, DREW",REP,0.00%,0
BRADFORD,"DUMAS, LORI A",DEM,0.00%,0
BRADFORD,"SPURGEON, DAVID LEE",DEM,0.00%,0
BRADFORD,"WALLACE, STACY MARIE",REP,0.00%,0
BRADFORD,"CROMPTON, DREW",REP,0.00%,0
BUCKS,"DUMAS, LORI A",DEM,0.00%,0
BUCKS,"SPURGEON, DAVID LEE",DEM,0.00%,0
BUCKS,"WALLACE, STACY MARIE",REP,0.00%,0
BUCKS,"CROMPTON, DREW",REP,0.00%,0
BUTLER,"DUMAS, LORI A",DEM,0.00%,0
BUTLER,"SPURGEON, DAVID LEE",DEM,0.00%,0
BUTLER,"WALLACE, STACY MARIE",REP,0.00%,0
BUTLER,"CROMPTON, DREW",REP,0.00%,0
CAMBRIA,"DUMAS, LORI A",DEM,0.00%,0
CAMBRIA,"SPURGEON, DAVID LEE",DEM,0.00%,0
CAMBRIA,"WALLACE, STACY MARIE",REP,0.00%,0
CAMBRIA,"CROMPTON, DREW",REP,0.00%,0
CAMERON,"DUMAS, LORI A",DEM,0.00%,0
CAMERON,"SPURGEON, DAVID LEE",DEM,0.00%,0
CAMERON,"WALLACE, STACY MARIE",REP,0.00%,0
CAMERON,"CROMPTON, DREW",REP,0.00%,0
CARBON,"DUMAS, LORI A",DEM,0.00%,0
CARBON,"SPURGEON, DAVID LEE",DEM,0.00%,0
CARBON,"WALLACE, STACY MARIE",REP,0.00%,0
CARBON,"CROMPTON, DREW",REP,0.00%,0
