,County,Candidate,Party,Share,Votes
0,ADAMS,"GREEN-HAWKINS, AMANDA",DEM,16.80%,"5,284"
1,ADAMS,"MCCAFFERY, DANIEL D",DEM,16.84%,"5,298"
2,ADAMS,"MCCARTHY KING, MEGAN",REP,33.64%,"10,582"
3,ADAMS,"PECK, CHRISTYLEE",REP,32.72%,"10,294"
4,ALLEGHENY,"GREEN-HAWKINS, AMANDA",DEM,31.68%,"153,648"
5,ALLEGHENY,"MCCAFFERY, DANIEL D",DEM,31.74%,"153,943"
6,ALLEGHENY,"MCCARTHY KING, MEGAN",REP,19.53%,"94,703"
7,ALLEGHENY,"PECK, CHRISTYLEE",REP,17.05%,"82,703"
8,ARMSTRONG,"GREEN-HAWKINS, AMANDA",DEM,13.37%,"3,415"
9,ARMSTRONG,"MCCAFFERY, DANIEL D",DEM,15.17%,"3,874"
10,ARMSTRONG,"MCCARTHY KING, MEGAN",REP,36.19%,"9,244"
11,ARMSTRONG,"PECK, CHRISTYLEE",REP,35.28%,"9,012"
12,BEAVER,"GREEN-HAWKINS, AMANDA",DEM,22.01%,"15,063"
13,BEAVER,"MCCAFFERY, DANIEL D",DEM,23.93%,"16,380"
14,BEAVER,"MCCARTHY KING, MEGAN",REP,28.02%,"19,179"
15,BEAVER,"PECK, CHRISTYLEE",REP,26.04%,"17,821"
16,BEDFORD,"GREEN-HAWKINS, AMANDA",DEM,9.12%,"1,745"
17,BEDFORD,"MCCAFFERY, DANIEL D",DEM,9.19%,"1,758"
18,BEDFORD,"MCCARTHY KING, MEGAN",REP,41.64%,"7,963"
19,BEDFORD,"PECK, CHRISTYLEE",REP,40.05%,"7,659"
20,BERKS,"GREEN-HAWKINS, AMANDA",DEM,22.67%,"32,179"
21,BERKS,"MCCAFFERY, DANIEL D",DEM,23.05%,"32,708"
22,BERKS,"MCCARTHY KING, MEGAN",REP,28.19%,"40,004"
23,BERKS,"PECK, CHRISTYLEE",REP,26.10%,"37,037"
24,BLAIR,"GREEN-HAWKINS, AMANDA",DEM,12.78%,"5,383"
25,BLAIR,"MCCAFFERY, DANIEL D",DEM,14.11%,"5,943"
26,BLAIR,"MCCARTHY KING, MEGAN",REP,37.32%,"15,722"
27,BLAIR,"PECK, CHRISTYLEE",REP,35.80%,"15,083"
28,BRADFORD,"GREEN-HAWKINS, AMANDA",DEM,12.15%,"2,817"
29,BRADFORD,"MCCAFFERY, DANIEL D",DEM,12.60%,"2,920"
30,BRADFORD,"MCCARTHY KING, MEGAN",REP,39.22%,"9,093"
31,BRADFORD,"PECK, CHRISTYLEE",REP,36.03%,"8,353"
32,BUCKS,"GREEN-HAWKINS, AMANDA",DEM,25.78%,"79,224"
33,BUCKS,"MCCAFFERY, DANIEL D",DEM,25.87%,"79,500"
34,BUCKS,"MCCARTHY KING, MEGAN",REP,24.99%,"76,801"
35,BUCKS,"PECK, CHRISTYLEE",REP,23.35%,"71,760"
36,BUTLER,"GREEN-HAWKINS, AMANDA",DEM,16.07%,"10,974"
37,BUTLER,"MCCAFFERY, DANIEL D",DEM,16.92%,"11,555"
38,BUTLER,"MCCARTHY KING, MEGAN",REP,35.05%,"23,938"
39,BUTLER,"PECK, CHRISTYLEE",REP,31.97%,"21,836"
40,CAMBRIA,"GREEN-HAWKINS, AMANDA",DEM,17.35%,"10,087"
41,CAMBRIA,"MCCAFFERY, DANIEL D",DEM,19.61%,"11,399"
42,CAMBRIA,"MCCARTHY KING, MEGAN",REP,32.06%,"18,642"
43,CAMBRIA,"PECK, CHRISTYLEE",REP,30.98%,"18,012"
44,CAMERON,"GREEN-HAWKINS, AMANDA",DEM,13.74%,370
45,CAMERON,"MCCAFFERY, DANIEL D",DEM,14.67%,395
46,CAMERON,"MCCARTHY KING, MEGAN",REP,36.72%,989
47,CAMERON,"PECK, CHRISTYLEE",REP,34.87%,939
48,CARBON,"GREEN-HAWKINS, AMANDA",DEM,18.24%,"4,351"
49,CARBON,"MCCAFFERY, DANIEL D",DEM,20.29%,"4,840"
50,CARBON,"MCCARTHY KING, MEGAN",REP,32.45%,"7,740"
51,CARBON,"PECK, CHRISTYLEE",REP,29.02%,"6,922"
52,CENTRE,"GREEN-HAWKINS, AMANDA",DEM,25.48%,"15,607"
53,CENTRE,"MCCAFFERY, DANIEL D",DEM,25.40%,"15,563"
54,CENTRE,"MCCARTHY KING, MEGAN",REP,25.04%,"15,341"
