,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
0,ADAMS,"BIDEN, JOSEPH ROBINETTE JR",DEM,32.20%,"18,207",6611,11436,160
1,ADAMS,"TRUMP, DONALD J.",REP,66.37%,"37,523",29942,7148,433
2,ADAMS,"JORGENSEN, JO",LIB,1.43%,810,544,256,10
3,ALLEGHENY,"BIDEN, JOSEPH ROBINETTE JR",DEM,59.61%,"429,065",148171,273080,7814
4,ALLEGHENY,"TRUMP, DONALD J.",REP,39.23%,"282,324",209459,66575,6290
5,ALLEGHENY,"JORGENSEN, JO",LIB,1.16%,"8,344",5085,3076,183
6,ARMSTRONG,"BIDEN, JOSEPH ROBINETTE JR",DEM,23.25%,"8,457",4275,4108,74
7,ARMSTRONG,"TRUMP, DONALD J.",REP,75.58%,"27,489",24233,2917,339
8,ARMSTRONG,"JORGENSEN, JO",LIB,1.17%,424,340,78,6
9,BEAVER,"BIDEN, JOSEPH ROBINETTE JR",DEM,40.50%,"38,122",17304,20153,665
10,BEAVER,"TRUMP, DONALD J.",REP,58.18%,"54,759",45464,8468,827
11,BEAVER,"JORGENSEN, JO",LIB,1.32%,"1,241",851,372,18
12,BEDFORD,"BIDEN, JOSEPH ROBINETTE JR",DEM,15.84%,"4,367",1822,2498,47
13,BEDFORD,"TRUMP, DONALD J.",REP,83.50%,"23,025",19637,3027,361
14,BEDFORD,"JORGENSEN, JO",LIB,0.66%,182,121,59,2
15,BERKS,"BIDEN, JOSEPH ROBINETTE JR",DEM,45.20%,"92,895",43533,47364,1998
16,BERKS,"TRUMP, DONALD J.",REP,53.39%,"109,736",90579,17037,2120
17,BERKS,"JORGENSEN, JO",LIB,1.42%,"2,909",2058,778,73
18,BLAIR,"BIDEN, JOSEPH ROBINETTE JR",DEM,27.73%,"17,636",7856,9576,204
19,BLAIR,"TRUMP, DONALD J.",REP,71.24%,"45,306",37610,7115,581
20,BLAIR,"JORGENSEN, JO",LIB,1.03%,653,454,193,6
21,BRADFORD,"BIDEN, JOSEPH ROBINETTE JR",DEM,26.68%,"8,046",4147,3806,93
22,BRADFORD,"TRUMP, DONALD J.",REP,71.62%,"21,600",18665,2599,336
23,BRADFORD,"JORGENSEN, JO",LIB,1.70%,513,397,109,7
24,BUCKS,"BIDEN, JOSEPH ROBINETTE JR",DEM,51.66%,"204,712",77498,124345,2869
25,BUCKS,"TRUMP, DONALD J.",REP,47.29%,"187,367",145843,38506,3018
26,BUCKS,"JORGENSEN, JO",LIB,1.05%,"4,155",2654,1453,48
27,BUTLER,"BIDEN, JOSEPH ROBINETTE JR",DEM,33.10%,"37,508",15955,21061,492
28,BUTLER,"TRUMP, DONALD J.",REP,65.63%,"74,359",61880,11501,978
29,BUTLER,"JORGENSEN, JO",LIB,1.27%,"1,438",1046,369,23
30,CAMBRIA,"BIDEN, JOSEPH ROBINETTE JR",DEM,30.79%,"21,730",10585,10878,267
31,CAMBRIA,"TRUMP, DONALD J.",REP,68.13%,"48,085",41101,6429,555
32,CAMBRIA,"JORGENSEN, JO",LIB,1.08%,759,542,209,8
33,CAMERON,"BIDEN, JOSEPH ROBINETTE JR",DEM,26.05%,634,279,347,8
34,CAMERON,"TRUMP, DONALD J.",REP,72.76%,"1,771",1393,358,20
35,CAMERON,"JORGENSEN, JO",LIB,1.19%,29,19,10,0
36,CARBON,"BIDEN, JOSEPH ROBINETTE JR",DEM,33.34%,"11,212",5145,5898,169
37,CARBON,"TRUMP, DONALD J.",REP,65.37%,"21,984",18506,3164,314
38,CARBON,"JORGENSEN, JO",LIB,1.29%,433,328,99,6
39,CENTRE,"BIDEN, JOSEPH ROBINETTE JR",DEM,51.69%,"40,055",14449,25307,299
40,CENTRE,"TRUMP, DONALD J.",REP,46.94%,"36,372",29175,6889,308
41,CENTRE,"JORGENSEN, JO",LIB,1.38%,"1,066",672,380,14
42,CHESTER,"BIDEN, JOSEPH ROBINETTE JR",DEM,57.99%,"182,372",61873,118545,1954
43,CHESTER,"TRUMP, DONALD J.",REP,40.88%,"128,565",96905,30182,1478
