,County,Candidate,Party,Share,Votes
0,ADAMS,"CASEY, ROBERT P JR",DEM,38.05%,"14,880"
1,ADAMS,"BARLETTA, LOUIS J.",REP,59.89%,"23,419"
2,ADAMS,"GALE, NEAL TAYLOR",GRN,0.75%,292
3,ADAMS,"KERNS, DALE R JR",LIB,1.31%,511
4,ALLEGHENY,"CASEY, ROBERT P JR",DEM,65.70%,"355,907"
5,ALLEGHENY,"BARLETTA, LOUIS J.",REP,32.55%,"176,351"
6,ALLEGHENY,"GALE, NEAL TAYLOR",GRN,0.60%,"3,240"
7,ALLEGHENY,"KERNS, DALE R JR",LIB,1.15%,"6,205"
8,ARMSTRONG,"CASEY, ROBERT P JR",DEM,35.00%,"8,570"
9,ARMSTRONG,"BARLETTA, LOUIS J.",REP,63.09%,"15,449"
10,ARMSTRONG,"GALE, NEAL TAYLOR",GRN,0.65%,159
11,ARMSTRONG,"KERNS, DALE R JR",LIB,1.27%,310
12,BEAVER,"CASEY, ROBERT P JR",DEM,50.92%,"34,442"
13,BEAVER,"BARLETTA, LOUIS J.",REP,47.18%,"31,916"
14,BEAVER,"GALE, NEAL TAYLOR",GRN,0.65%,437
15,BEAVER,"KERNS, DALE R JR",LIB,1.25%,847
16,BEDFORD,"CASEY, ROBERT P JR",DEM,24.26%,"4,567"
17,BEDFORD,"BARLETTA, LOUIS J.",REP,74.61%,"14,044"
18,BEDFORD,"GALE, NEAL TAYLOR",GRN,0.44%,83
19,BEDFORD,"KERNS, DALE R JR",LIB,0.69%,129
20,BERKS,"CASEY, ROBERT P JR",DEM,51.00%,"73,714"
21,BERKS,"BARLETTA, LOUIS J.",REP,47.16%,"68,159"
22,BERKS,"GALE, NEAL TAYLOR",GRN,0.68%,977
23,BERKS,"KERNS, DALE R JR",LIB,1.16%,"1,683"
24,BLAIR,"CASEY, ROBERT P JR",DEM,33.82%,"14,599"
25,BLAIR,"BARLETTA, LOUIS J.",REP,64.46%,"27,826"
26,BLAIR,"GALE, NEAL TAYLOR",GRN,0.60%,258
27,BLAIR,"KERNS, DALE R JR",LIB,1.12%,482
28,BRADFORD,"CASEY, ROBERT P JR",DEM,34.07%,"6,926"
29,BRADFORD,"BARLETTA, LOUIS J.",REP,64.11%,"13,032"
30,BRADFORD,"GALE, NEAL TAYLOR",GRN,0.70%,143
31,BRADFORD,"KERNS, DALE R JR",LIB,1.12%,227
32,BUCKS,"CASEY, ROBERT P JR",DEM,56.20%,"165,408"
33,BUCKS,"BARLETTA, LOUIS J.",REP,42.18%,"124,133"
34,BUCKS,"GALE, NEAL TAYLOR",GRN,0.65%,"1,903"
35,BUCKS,"KERNS, DALE R JR",LIB,0.98%,"2,873"
36,BUTLER,"CASEY, ROBERT P JR",DEM,39.01%,"31,010"
37,BUTLER,"BARLETTA, LOUIS J.",REP,58.97%,"46,875"
38,BUTLER,"GALE, NEAL TAYLOR",GRN,0.61%,488
39,BUTLER,"KERNS, DALE R JR",LIB,1.41%,"1,122"
40,CAMBRIA,"CASEY, ROBERT P JR",DEM,43.52%,"21,590"
41,CAMBRIA,"BARLETTA, LOUIS J.",REP,55.17%,"27,367"
42,CAMBRIA,"GALE, NEAL TAYLOR",GRN,0.50%,247
43,CAMBRIA,"KERNS, DALE R JR",LIB,0.81%,403
44,CAMERON,"CASEY, ROBERT P JR",DEM,37.00%,653
45,CAMERON,"BARLETTA, LOUIS J.",REP,61.19%,"1,080"
46,CAMERON,"GALE, NEAL TAYLOR",GRN,0.57%,10
47,CAMERON,"KERNS, DALE R JR",LIB,1.25%,22
48,CARBON,"CASEY, ROBERT P JR",DEM,38.71%,"8,739"
49,CARBON,"BARLETTA, LOUIS J.",REP,59.89%,"13,519"
50,CARBON,"GALE, NEAL TAYLOR",GRN,0.53%,119
51,CARBON,"KERNS, DALE R JR",LIB,0.87%,197
52,CENTRE,"CASEY, ROBERT P JR",DEM,57.33%,"34,778"
53,CENTRE,"BARLETTA, LOUIS J.",REP,40.11%,"24,332"
54,CENTRE,"GALE, NEAL TAYLOR",GRN,1.04%,632
55,CENTRE,"KERNS, DALE R JR",LIB,1.52%,922
