,County,Candidate,Party,Share,Votes
0,ADAMS,"MCLAUGHLIN, MARIA",DEM,10.02%,"5,214"
1,ADAMS,"NICHOLS, CAROLYN H",DEM,8.83%,"4,596"
2,ADAMS,"KUNSELMAN, DEBORAH ANNE",DEM,9.48%,"4,934"
3,ADAMS,"MOULTON, H GEOFFREY JR",DEM,7.48%,"3,895"
4,ADAMS,"STEDMAN, CRAIG",REP,17.04%,"8,866"
5,ADAMS,"GIORDANO, EMIL",REP,14.44%,"7,515"
6,ADAMS,"KAGARISE, WADE ALAN",REP,14.89%,"7,751"
7,ADAMS,"MURRAY, MARY P",REP,16.32%,"8,491"
8,ADAMS,"MERMELSTEIN, JULES",GRN,1.49%,777
9,ALLEGHENY,"MCLAUGHLIN, MARIA",DEM,17.41%,"135,279"
10,ALLEGHENY,"NICHOLS, CAROLYN H",DEM,15.60%,"121,272"
11,ALLEGHENY,"KUNSELMAN, DEBORAH ANNE",DEM,17.44%,"135,506"
12,ALLEGHENY,"MOULTON, H GEOFFREY JR",DEM,14.65%,"113,865"
13,ALLEGHENY,"STEDMAN, CRAIG",REP,8.62%,"66,986"
14,ALLEGHENY,"GIORDANO, EMIL",REP,7.94%,"61,678"
15,ALLEGHENY,"KAGARISE, WADE ALAN",REP,7.76%,"60,337"
16,ALLEGHENY,"MURRAY, MARY P",REP,8.84%,"68,718"
17,ALLEGHENY,"MERMELSTEIN, JULES",GRN,1.74%,"13,503"
18,ARMSTRONG,"MCLAUGHLIN, MARIA",DEM,10.81%,"4,965"
19,ARMSTRONG,"NICHOLS, CAROLYN H",DEM,8.21%,"3,769"
20,ARMSTRONG,"KUNSELMAN, DEBORAH ANNE",DEM,11.49%,"5,277"
21,ARMSTRONG,"MOULTON, H GEOFFREY JR",DEM,6.45%,"2,962"
22,ARMSTRONG,"STEDMAN, CRAIG",REP,16.02%,"7,354"
23,ARMSTRONG,"GIORDANO, EMIL",REP,14.57%,"6,688"
24,ARMSTRONG,"KAGARISE, WADE ALAN",REP,14.09%,"6,468"
25,ARMSTRONG,"MURRAY, MARY P",REP,16.70%,"7,669"
26,ARMSTRONG,"MERMELSTEIN, JULES",GRN,1.65%,759
27,BEAVER,"MCLAUGHLIN, MARIA",DEM,13.84%,"14,419"
28,BEAVER,"NICHOLS, CAROLYN H",DEM,11.71%,"12,199"
29,BEAVER,"KUNSELMAN, DEBORAH ANNE",DEM,17.64%,"18,383"
30,BEAVER,"MOULTON, H GEOFFREY JR",DEM,9.92%,"10,333"
31,BEAVER,"STEDMAN, CRAIG",REP,11.52%,"12,001"
32,BEAVER,"GIORDANO, EMIL",REP,10.94%,"11,401"
33,BEAVER,"KAGARISE, WADE ALAN",REP,10.21%,"10,643"
34,BEAVER,"MURRAY, MARY P",REP,12.49%,"13,012"
35,BEAVER,"MERMELSTEIN, JULES",GRN,1.75%,"1,820"
36,BEDFORD,"MCLAUGHLIN, MARIA",DEM,7.40%,"1,969"
37,BEDFORD,"NICHOLS, CAROLYN H",DEM,6.03%,"1,605"
38,BEDFORD,"KUNSELMAN, DEBORAH ANNE",DEM,6.83%,"1,817"
39,BEDFORD,"MOULTON, H GEOFFREY JR",DEM,5.03%,"1,339"
40,BEDFORD,"STEDMAN, CRAIG",REP,17.83%,"4,747"
41,BEDFORD,"GIORDANO, EMIL",REP,16.38%,"4,360"
42,BEDFORD,"KAGARISE, WADE ALAN",REP,20.46%,"5,447"
43,BEDFORD,"MURRAY, MARY P",REP,18.61%,"4,954"
44,BEDFORD,"MERMELSTEIN, JULES",GRN,1.43%,380
45,BERKS,"MCLAUGHLIN, MARIA",DEM,11.45%,"25,217"
46,BERKS,"NICHOLS, CAROLYN H",DEM,10.91%,"24,028"
47,BERKS,"KUNSELMAN, DEBORAH ANNE",DEM,11.64%,"25,617"
48,BERKS,"MOULTON, H GEOFFREY JR",DEM,10.02%,"22,064"
49,BERKS,"STEDMAN, CRAIG",REP,13.94%,"30,695"
50,BERKS,"GIORDANO, EMIL",REP,13.57%,"29,884"
51,BERKS,"KAGARISE, WADE ALAN",REP,13.18%,"29,016"
52,BERKS,"MURRAY, MARY P",REP,14.02%,"30,853"
53,BERKS,"MERMELSTEIN, JULES",GRN,1.26%,"2,768"
54,BLAIR,"MCLAUGHLIN, MARIA",DEM,8.65%,"5,514"
55,BLAIR,"NICHOLS, CAROLYN H",DEM,7.33%,"4,671"
56,BLAIR,"KUNSELMAN, DEBORAH ANNE",DEM,8.36%,"5,329"
57,BLAIR,"MOULTON, H GEOFFREY JR",DEM,6.05%,"3,854"
58,BLAIR,"STEDMAN, CRAIG",REP,15.74%,"10,031"
59,BLAIR,"GIORDANO, EMIL",REP,14.92%,"9,514"
60,BLAIR,"KAGARISE, WADE ALAN",REP,21.12%,"13,464"
61,BLAIR,"MURRAY, MARY P",REP,16.18%,"10,316"
62,BLAIR,"MERMELSTEIN, JULES",GRN,1.65%,"1,053"
63,BRADFORD,"MCLAUGHLIN, MARIA",DEM,8.79%,"2,881"
64,BRADFORD,"NICHOLS, CAROLYN H",DEM,7.37%,"2,416"
65,BRADFORD,"KUNSELMAN, DEBORAH ANNE",DEM,8.16%,"2,674"
66,BRADFORD,"MOULTON, H GEOFFREY JR",DEM,5.97%,"1,957"
67,BRADFORD,"STEDMAN, CRAIG",REP,17.14%,"5,615"
68,BRADFORD,"GIORDANO, EMIL",REP,16.73%,"5,480"
69,BRADFORD,"KAGARISE, WADE ALAN",REP,15.81%,"5,180"
70,BRADFORD,"MURRAY, MARY P",REP,18.41%,"6,030"
71,BRADFORD,"MERMELSTEIN, JULES",GRN,1.61%,528
72,BUCKS,"MCLAUGHLIN, MARIA",DEM,13.71%,"65,027"
73,BUCKS,"NICHOLS, CAROLYN H",DEM,12.30%,"58,377"
74,BUCKS,"KUNSELMAN, DEBORAH ANNE",DEM,13.43%,"63,699"
75,BUCKS,"MOULTON, H GEOFFREY JR",DEM,11.92%,"56,554"
76,BUCKS,"STEDMAN, CRAIG",REP,12.22%,"57,958"
77,BUCKS,"GIORDANO, EMIL",REP,11.82%,"56,075"
78,BUCKS,"KAGARISE, WADE ALAN",REP,11.76%,"55,780"
79,BUCKS,"MURRAY, MARY P",REP,11.82%,"56,089"
80,BUCKS,"MERMELSTEIN, JULES",GRN,1.03%,"4,903"
81,BUTLER,"MCLAUGHLIN, MARIA",DEM,10.12%,"10,499"
