County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"BENDER, JOHN T",0.00%,0.00%,0,0
ADAMS,"BOWES, MARY JANE",0.00%,0.00%,0,0
ALLEGHENY,"BENDER, JOHN T",0.00%,0.00%,0,0
ALLEGHENY,"BOWES, MARY JANE",0.00%,0.00%,0,0
ARMSTRONG,"BENDER, JOHN T",0.00%,0.00%,0,0
ARMSTRONG,"BOWES, MARY JANE",0.00%,0.00%,0,0
BEAVER,"BENDER, JOHN T",0.00%,0.00%,0,0
BEAVER,"BOWES, MARY JANE",0.00%,0.00%,0,0
BEDFORD,"BENDER, JOHN T",0.00%,0.00%,0,0
BEDFORD,"BOWES, MARY JANE",0.00%,0.00%,0,0
BERKS,"BENDER, JOHN T",0.00%,0.00%,0,0
BERKS,"BOWES, MARY JANE",0.00%,0.00%,0,0
BLAIR,"BENDER, JOHN T",0.00%,0.00%,0,0
BLAIR,"BOWES, MARY JANE",0.00%,0.00%,0,0
BRADFORD,"BENDER, JOHN T",0.00%,0.00%,0,0
BRADFORD,"BOWES, MARY JANE",0.00%,0.00%,0,0
BUCKS,"BENDER, JOHN T",0.00%,0.00%,0,0
BUCKS,"BOWES, MARY JANE",0.00%,0.00%,0,0
BUTLER,"BENDER, JOHN T",0.00%,0.00%,0,0
BUTLER,"BOWES, MARY JANE",0.00%,0.00%,0,0
CAMBRIA,"BENDER, JOHN T",0.00%,0.00%,0,0
CAMBRIA,"BOWES, MARY JANE",0.00%,0.00%,0,0
CAMERON,"BENDER, JOHN T",0.00%,0.00%,0,0
CAMERON,"BOWES, MARY JANE",0.00%,0.00%,0,0
CARBON,"BENDER, JOHN T",0.00%,0.00%,0,0
CARBON,"BOWES, MARY JANE",0.00%,0.00%,0,0
CENTRE,"BENDER, JOHN T",0.00%,0.00%,0,0
CENTRE,"BOWES, MARY JANE",0.00%,0.00%,0,0
CHESTER,"BENDER, JOHN T",0.00%,0.00%,0,0
CHESTER,"BOWES, MARY JANE",0.00%,0.00%,0,0
CLARION,"BENDER, JOHN T",0.00%,0.00%,0,0
CLARION,"BOWES, MARY JANE",0.00%,0.00%,0,0
CLEARFIELD,"BENDER, JOHN T",0.00%,0.00%,0,0
CLEARFIELD,"BOWES, MARY JANE",0.00%,0.00%,0,0
CLINTON,"BENDER, JOHN T",0.00%,0.00%,0,0
CLINTON,"BOWES, MARY JANE",0.00%,0.00%,0,0
COLUMBIA,"BENDER, JOHN T",0.00%,0.00%,0,0
COLUMBIA,"BOWES, MARY JANE",0.00%,0.00%,0,0
CRAWFORD,"BENDER, JOHN T",0.00%,0.00%,0,0
CRAWFORD,"BOWES, MARY JANE",0.00%,0.00%,0,0
CUMBERLAND,"BENDER, JOHN T",0.00%,0.00%,0,0
CUMBERLAND,"BOWES, MARY JANE",0.00%,0.00%,0,0
DAUPHIN,"BENDER, JOHN T",0.00%,0.00%,0,0
DAUPHIN,"BOWES, MARY JANE",0.00%,0.00%,0,0
DELAWARE,"BENDER, JOHN T",0.00%,0.00%,0,0
DELAWARE,"BOWES, MARY JANE",0.00%,0.00%,0,0
ELK,"BENDER, JOHN T",0.00%,0.00%,0,0
ELK,"BOWES, MARY JANE",0.00%,0.00%,0,0
ERIE,"BENDER, JOHN T",0.00%,0.00%,0,0
ERIE,"BOWES, MARY JANE",0.00%,0.00%,0,0
FAYETTE,"BENDER, JOHN T",0.00%,0.00%,0,0
FAYETTE,"BOWES, MARY JANE",0.00%,0.00%,0,0
FOREST,"BENDER, JOHN T",0.00%,0.00%,0,0
FOREST,"BOWES, MARY JANE",0.00%,0.00%,0,0
FRANKLIN,"BENDER, JOHN T",0.00%,0.00%,0,0
FRANKLIN,"BOWES, MARY JANE",0.00%,0.00%,0,0
FULTON,"BENDER, JOHN T",0.00%,0.00%,0,0
FULTON,"BOWES, MARY JANE",0.00%,0.00%,0,0
GREENE,"BENDER, JOHN T",0.00%,0.00%,0,0
GREENE,"BOWES, MARY JANE",0.00%,0.00%,0,0
HUNTINGDON,"BENDER, JOHN T",0.00%,0.00%,0,0
HUNTINGDON,"BOWES, MARY JANE",0.00%,0.00%,0,0
INDIANA,"BENDER, JOHN T",0.00%,0.00%,0,0
INDIANA,"BOWES, MARY JANE",0.00%,0.00%,0,0
JEFFERSON,"BENDER, JOHN T",0.00%,0.00%,0,0
JEFFERSON,"BOWES, MARY JANE",0.00%,0.00%,0,0
JUNIATA,"BENDER, JOHN T",0.00%,0.00%,0,0
JUNIATA,"BOWES, MARY JANE",0.00%,0.00%,0,0
LACKAWANNA,"BENDER, JOHN T",0.00%,0.00%,0,0
LACKAWANNA,"BOWES, MARY JANE",0.00%,0.00%,0,0
LANCASTER,"BENDER, JOHN T",0.00%,0.00%,0,0
LANCASTER,"BOWES, MARY JANE",0.00%,0.00%,0,0
LAWRENCE,"BENDER, JOHN T",0.00%,0.00%,0,0
LAWRENCE,"BOWES, MARY JANE",0.00%,0.00%,0,0
LEBANON,"BENDER, JOHN T",0.00%,0.00%,0,0
LEBANON,"BOWES, MARY JANE",0.00%,0.00%,0,0
LEHIGH,"BENDER, JOHN T",0.00%,0.00%,0,0
LEHIGH,"BOWES, MARY JANE",0.00%,0.00%,0,0
LUZERNE,"BENDER, JOHN T",0.00%,0.00%,0,0
LUZERNE,"BOWES, MARY JANE",0.00%,0.00%,0,0
LYCOMING,"BENDER, JOHN T",0.00%,0.00%,0,0
LYCOMING,"BOWES, MARY JANE",0.00%,0.00%,0,0
McKEAN,"BENDER, JOHN T",0.00%,0.00%,0,0
McKEAN,"BOWES, MARY JANE",0.00%,0.00%,0,0
MERCER,"BENDER, JOHN T",0.00%,0.00%,0,0
MERCER,"BOWES, MARY JANE",0.00%,0.00%,0,0
MIFFLIN,"BENDER, JOHN T",0.00%,0.00%,0,0
MIFFLIN,"BOWES, MARY JANE",0.00%,0.00%,0,0
MONROE,"BENDER, JOHN T",0.00%,0.00%,0,0
MONROE,"BOWES, MARY JANE",0.00%,0.00%,0,0
MONTGOMERY,"BENDER, JOHN T",0.00%,0.00%,0,0
MONTGOMERY,"BOWES, MARY JANE",0.00%,0.00%,0,0
MONTOUR,"BENDER, JOHN T",0.00%,0.00%,0,0
MONTOUR,"BOWES, MARY JANE",0.00%,0.00%,0,0
NORTHAMPTON,"BENDER, JOHN T",0.00%,0.00%,0,0
NORTHAMPTON,"BOWES, MARY JANE",0.00%,0.00%,0,0
NORTHUMBERLAND,"BENDER, JOHN T",0.00%,0.00%,0,0
NORTHUMBERLAND,"BOWES, MARY JANE",0.00%,0.00%,0,0
PERRY,"BENDER, JOHN T",0.00%,0.00%,0,0
PERRY,"BOWES, MARY JANE",0.00%,0.00%,0,0
PHILADELPHIA,"BENDER, JOHN T",0.00%,0.00%,0,0
PHILADELPHIA,"BOWES, MARY JANE",0.00%,0.00%,0,0
PIKE,"BENDER, JOHN T",0.00%,0.00%,0,0
PIKE,"BOWES, MARY JANE",0.00%,0.00%,0,0
POTTER,"BENDER, JOHN T",0.00%,0.00%,0,0
POTTER,"BOWES, MARY JANE",0.00%,0.00%,0,0
SCHUYLKILL,"BENDER, JOHN T",0.00%,0.00%,0,0
SCHUYLKILL,"BOWES, MARY JANE",0.00%,0.00%,0,0
SNYDER,"BENDER, JOHN T",0.00%,0.00%,0,0
SNYDER,"BOWES, MARY JANE",0.00%,0.00%,0,0
SOMERSET,"BENDER, JOHN T",0.00%,0.00%,0,0
SOMERSET,"BOWES, MARY JANE",0.00%,0.00%,0,0
SULLIVAN,"BENDER, JOHN T",0.00%,0.00%,0,0
SULLIVAN,"BOWES, MARY JANE",0.00%,0.00%,0,0
SUSQUEHANNA,"BENDER, JOHN T",0.00%,0.00%,0,0
SUSQUEHANNA,"BOWES, MARY JANE",0.00%,0.00%,0,0
TIOGA,"BENDER, JOHN T",0.00%,0.00%,0,0
TIOGA,"BOWES, MARY JANE",0.00%,0.00%,0,0
UNION,"BENDER, JOHN T",0.00%,0.00%,0,0
UNION,"BOWES, MARY JANE",0.00%,0.00%,0,0
VENANGO,"BENDER, JOHN T",0.00%,0.00%,0,0
VENANGO,"BOWES, MARY JANE",0.00%,0.00%,0,0
WARREN,"BENDER, JOHN T",0.00%,0.00%,0,0
WARREN,"BOWES, MARY JANE",0.00%,0.00%,0,0
WASHINGTON,"BENDER, JOHN T",0.00%,0.00%,0,0
WASHINGTON,"BOWES, MARY JANE",0.00%,0.00%,0,0
WAYNE,"BENDER, JOHN T",0.00%,0.00%,0,0
WAYNE,"BOWES, MARY JANE",0.00%,0.00%,0,0
WESTMORELAND,"BENDER, JOHN T",0.00%,0.00%,0,0
WESTMORELAND,"BOWES, MARY JANE",0.00%,0.00%,0,0
WYOMING,"BENDER, JOHN T",0.00%,0.00%,0,0
WYOMING,"BOWES, MARY JANE",0.00%,0.00%,0,0
YORK,"BENDER, JOHN T",0.00%,0.00%,0,0
YORK,"BOWES, MARY JANE",0.00%,0.00%,0,0
