,County,Candidate,Party,Share,Votes
0,ADAMS,"WOODRUFF, DWAYNE D",DEM,28.36%,"4,051"
1,ADAMS,"MUNDY, SALLIE",REP,71.64%,"10,232"
2,ALLEGHENY,"WOODRUFF, DWAYNE D",DEM,63.20%,"132,836"
3,ALLEGHENY,"MUNDY, SALLIE",REP,36.80%,"77,363"
4,ARMSTRONG,"WOODRUFF, DWAYNE D",DEM,28.64%,"3,877"
5,ARMSTRONG,"MUNDY, SALLIE",REP,71.36%,"9,662"
6,BEAVER,"WOODRUFF, DWAYNE D",DEM,45.61%,"13,422"
7,BEAVER,"MUNDY, SALLIE",REP,54.39%,"16,005"
8,BEDFORD,"WOODRUFF, DWAYNE D",DEM,22.54%,"1,715"
9,BEDFORD,"MUNDY, SALLIE",REP,77.46%,"5,895"
10,BERKS,"WOODRUFF, DWAYNE D",DEM,39.24%,"23,732"
11,BERKS,"MUNDY, SALLIE",REP,60.76%,"36,744"
12,BLAIR,"WOODRUFF, DWAYNE D",DEM,29.27%,"5,173"
13,BLAIR,"MUNDY, SALLIE",REP,70.73%,"12,501"
14,BRADFORD,"WOODRUFF, DWAYNE D",DEM,24.05%,"2,230"
15,BRADFORD,"MUNDY, SALLIE",REP,75.95%,"7,042"
16,BUCKS,"WOODRUFF, DWAYNE D",DEM,49.05%,"62,452"
17,BUCKS,"MUNDY, SALLIE",REP,50.95%,"64,861"
18,BUTLER,"WOODRUFF, DWAYNE D",DEM,32.78%,"9,091"
19,BUTLER,"MUNDY, SALLIE",REP,67.22%,"18,643"
20,CAMBRIA,"WOODRUFF, DWAYNE D",DEM,43.02%,"10,155"
21,CAMBRIA,"MUNDY, SALLIE",REP,56.98%,"13,453"
22,CAMERON,"WOODRUFF, DWAYNE D",DEM,29.74%,281
23,CAMERON,"MUNDY, SALLIE",REP,70.26%,664
24,CARBON,"WOODRUFF, DWAYNE D",DEM,35.85%,"3,738"
25,CARBON,"MUNDY, SALLIE",REP,64.15%,"6,689"
26,CENTRE,"WOODRUFF, DWAYNE D",DEM,50.64%,"12,801"
27,CENTRE,"MUNDY, SALLIE",REP,49.36%,"12,477"
28,CHESTER,"WOODRUFF, DWAYNE D",DEM,50.44%,"53,978"
29,CHESTER,"MUNDY, SALLIE",REP,49.56%,"53,034"
