County,Candidate,Party,Share,Votes
ADAMS,"MCLAUGHLIN, MARIA",DEM,35.04%,"7,557"
ADAMS,"BROBSON, KEVIN",REP,64.96%,"14,012"
ALLEGHENY,"MCLAUGHLIN, MARIA",DEM,62.53%,"181,075"
ALLEGHENY,"BROBSON, KEVIN",REP,37.47%,"108,486"
ARMSTRONG,"MCLAUGHLIN, MARIA",DEM,29.53%,"4,054"
ARMSTRONG,"BROBSON, KEVIN",REP,70.47%,"9,676"
BEAVER,"MCLAUGHLIN, MARIA",DEM,44.76%,"16,591"
BEAVER,"BROBSON, KEVIN",REP,55.24%,"20,475"
BEDFORD,"MCLAUGHLIN, MARIA",DEM,21.68%,"1,982"
BEDFORD,"BROBSON, KEVIN",REP,78.32%,"7,161"
BERKS,"MCLAUGHLIN, MARIA",DEM,41.95%,"29,664"
BERKS,"BROBSON, KEVIN",REP,58.05%,"41,049"
BLAIR,"MCLAUGHLIN, MARIA",DEM,28.05%,"7,137"
BLAIR,"BROBSON, KEVIN",REP,71.95%,"18,307"
BRADFORD,"MCLAUGHLIN, MARIA",DEM,26.67%,"3,112"
BRADFORD,"BROBSON, KEVIN",REP,73.33%,"8,557"
BUCKS,"MCLAUGHLIN, MARIA",DEM,48.64%,"91,719"
BUCKS,"BROBSON, KEVIN",REP,51.36%,"96,866"
BUTLER,"MCLAUGHLIN, MARIA",DEM,34.62%,"15,000"
BUTLER,"BROBSON, KEVIN",REP,65.38%,"28,322"
CAMBRIA,"MCLAUGHLIN, MARIA",DEM,37.08%,"10,986"
CAMBRIA,"BROBSON, KEVIN",REP,62.92%,"18,644"
CAMERON,"MCLAUGHLIN, MARIA",DEM,29.03%,335
CAMERON,"BROBSON, KEVIN",REP,70.97%,819
CARBON,"MCLAUGHLIN, MARIA",DEM,37.25%,"4,934"
CARBON,"BROBSON, KEVIN",REP,62.75%,"8,312"
CENTRE,"MCLAUGHLIN, MARIA",DEM,51.17%,"17,259"
CENTRE,"BROBSON, KEVIN",REP,48.83%,"16,471"
CHESTER,"MCLAUGHLIN, MARIA",DEM,53.33%,"74,691"
CHESTER,"BROBSON, KEVIN",REP,46.67%,"65,352"
CLARION,"MCLAUGHLIN, MARIA",DEM,26.86%,"2,442"
CLARION,"BROBSON, KEVIN",REP,73.14%,"6,650"
CLEARFIELD,"MCLAUGHLIN, MARIA",DEM,30.03%,"5,168"
CLEARFIELD,"BROBSON, KEVIN",REP,69.97%,"12,042"
CLINTON,"MCLAUGHLIN, MARIA",DEM,35.05%,"2,414"
CLINTON,"BROBSON, KEVIN",REP,64.95%,"4,473"
COLUMBIA,"MCLAUGHLIN, MARIA",DEM,34.95%,"4,217"
COLUMBIA,"BROBSON, KEVIN",REP,65.05%,"7,848"
CRAWFORD,"MCLAUGHLIN, MARIA",DEM,36.84%,"6,135"
CRAWFORD,"BROBSON, KEVIN",REP,63.16%,"10,519"
CUMBERLAND,"MCLAUGHLIN, MARIA",DEM,41.94%,"23,726"
CUMBERLAND,"BROBSON, KEVIN",REP,58.06%,"32,847"
DAUPHIN,"MCLAUGHLIN, MARIA",DEM,48.13%,"28,789"
DAUPHIN,"BROBSON, KEVIN",REP,51.87%,"31,029"
DELAWARE,"MCLAUGHLIN, MARIA",DEM,53.09%,"71,148"
DELAWARE,"BROBSON, KEVIN",REP,46.91%,"62,877"
ELK,"MCLAUGHLIN, MARIA",DEM,34.22%,"2,491"
ELK,"BROBSON, KEVIN",REP,65.78%,"4,788"
ERIE,"MCLAUGHLIN, MARIA",DEM,57.18%,"38,324"
ERIE,"BROBSON, KEVIN",REP,42.82%,"28,696"
FAYETTE,"MCLAUGHLIN, MARIA",DEM,41.08%,"8,821"
FAYETTE,"BROBSON, KEVIN",REP,58.92%,"12,650"
FOREST,"MCLAUGHLIN, MARIA",DEM,31.56%,464
FOREST,"BROBSON, KEVIN",REP,68.44%,"1,006"
FRANKLIN,"MCLAUGHLIN, MARIA",DEM,27.12%,"8,023"
FRANKLIN,"BROBSON, KEVIN",REP,72.88%,"21,565"
FULTON,"MCLAUGHLIN, MARIA",DEM,17.50%,536
FULTON,"BROBSON, KEVIN",REP,82.50%,"2,527"
GREENE,"MCLAUGHLIN, MARIA",DEM,28.95%,"1,793"
GREENE,"BROBSON, KEVIN",REP,71.05%,"4,401"
HUNTINGDON,"MCLAUGHLIN, MARIA",DEM,27.17%,"2,404"
HUNTINGDON,"BROBSON, KEVIN",REP,72.83%,"6,445"
INDIANA,"MCLAUGHLIN, MARIA",DEM,35.58%,"7,304"
INDIANA,"BROBSON, KEVIN",REP,64.42%,"13,227"
JEFFERSON,"MCLAUGHLIN, MARIA",DEM,23.74%,"2,395"
JEFFERSON,"BROBSON, KEVIN",REP,76.26%,"7,693"
JUNIATA,"MCLAUGHLIN, MARIA",DEM,21.54%,"1,046"
JUNIATA,"BROBSON, KEVIN",REP,78.46%,"3,811"
LACKAWANNA,"MCLAUGHLIN, MARIA",DEM,59.26%,"29,097"
LACKAWANNA,"BROBSON, KEVIN",REP,40.74%,"20,001"
LANCASTER,"MCLAUGHLIN, MARIA",DEM,37.88%,"41,343"
LANCASTER,"BROBSON, KEVIN",REP,62.12%,"67,811"
LAWRENCE,"MCLAUGHLIN, MARIA",DEM,40.47%,"6,985"
LAWRENCE,"BROBSON, KEVIN",REP,59.53%,"10,276"
LEBANON,"MCLAUGHLIN, MARIA",DEM,31.24%,"8,165"
LEBANON,"BROBSON, KEVIN",REP,68.76%,"17,970"
LEHIGH,"MCLAUGHLIN, MARIA",DEM,51.05%,"36,383"
LEHIGH,"BROBSON, KEVIN",REP,48.95%,"34,884"
LUZERNE,"MCLAUGHLIN, MARIA",DEM,43.43%,"24,267"
LUZERNE,"BROBSON, KEVIN",REP,56.57%,"31,606"
LYCOMING,"MCLAUGHLIN, MARIA",DEM,26.29%,"5,921"
LYCOMING,"BROBSON, KEVIN",REP,73.71%,"16,600"
McKEAN,"MCLAUGHLIN, MARIA",DEM,27.34%,"2,092"
McKEAN,"BROBSON, KEVIN",REP,72.66%,"5,560"
MERCER,"MCLAUGHLIN, MARIA",DEM,38.12%,"8,902"
MERCER,"BROBSON, KEVIN",REP,61.88%,"14,451"
MIFFLIN,"MCLAUGHLIN, MARIA",DEM,22.14%,"1,938"
MIFFLIN,"BROBSON, KEVIN",REP,77.86%,"6,816"
MONROE,"MCLAUGHLIN, MARIA",DEM,51.41%,"14,083"
MONROE,"BROBSON, KEVIN",REP,48.59%,"13,310"
MONTGOMERY,"MCLAUGHLIN, MARIA",DEM,58.87%,"121,864"
MONTGOMERY,"BROBSON, KEVIN",REP,41.13%,"85,153"
