County,Candidate,Party,Share,Votes
ADAMS,"MCLAUGHLIN, MARIA",DEM,35.11%,"7,586"
ADAMS,"BROBSON, KEVIN",REP,64.89%,"14,023"
ALLEGHENY,"MCLAUGHLIN, MARIA",DEM,62.63%,"184,873"
ALLEGHENY,"BROBSON, KEVIN",REP,37.37%,"110,290"
ARMSTRONG,"MCLAUGHLIN, MARIA",DEM,29.59%,"4,077"
ARMSTRONG,"BROBSON, KEVIN",REP,70.41%,"9,700"
BEAVER,"MCLAUGHLIN, MARIA",DEM,44.82%,"16,651"
BEAVER,"BROBSON, KEVIN",REP,55.18%,"20,503"
BEDFORD,"MCLAUGHLIN, MARIA",DEM,21.45%,"2,030"
BEDFORD,"BROBSON, KEVIN",REP,78.55%,"7,432"
BERKS,"MCLAUGHLIN, MARIA",DEM,42.73%,"30,939"
BERKS,"BROBSON, KEVIN",REP,57.27%,"41,471"
BLAIR,"MCLAUGHLIN, MARIA",DEM,28.19%,"7,209"
BLAIR,"BROBSON, KEVIN",REP,71.81%,"18,364"
BRADFORD,"MCLAUGHLIN, MARIA",DEM,26.73%,"3,129"
BRADFORD,"BROBSON, KEVIN",REP,73.27%,"8,578"
BUCKS,"MCLAUGHLIN, MARIA",DEM,48.96%,"93,469"
BUCKS,"BROBSON, KEVIN",REP,51.04%,"97,440"
BUTLER,"MCLAUGHLIN, MARIA",DEM,34.76%,"15,125"
BUTLER,"BROBSON, KEVIN",REP,65.24%,"28,384"
CAMBRIA,"MCLAUGHLIN, MARIA",DEM,37.13%,"11,021"
CAMBRIA,"BROBSON, KEVIN",REP,62.87%,"18,661"
CAMERON,"MCLAUGHLIN, MARIA",DEM,28.98%,335
CAMERON,"BROBSON, KEVIN",REP,71.02%,821
CARBON,"MCLAUGHLIN, MARIA",DEM,37.25%,"4,934"
CARBON,"BROBSON, KEVIN",REP,62.75%,"8,312"
CENTRE,"MCLAUGHLIN, MARIA",DEM,51.61%,"17,769"
CENTRE,"BROBSON, KEVIN",REP,48.39%,"16,659"
CHESTER,"MCLAUGHLIN, MARIA",DEM,53.73%,"76,405"
CHESTER,"BROBSON, KEVIN",REP,46.27%,"65,798"
CLARION,"MCLAUGHLIN, MARIA",DEM,26.86%,"2,442"
CLARION,"BROBSON, KEVIN",REP,73.14%,"6,650"
CLEARFIELD,"MCLAUGHLIN, MARIA",DEM,30.03%,"5,168"
CLEARFIELD,"BROBSON, KEVIN",REP,69.97%,"12,042"
CLINTON,"MCLAUGHLIN, MARIA",DEM,35.06%,"2,418"
CLINTON,"BROBSON, KEVIN",REP,64.94%,"4,478"
COLUMBIA,"MCLAUGHLIN, MARIA",DEM,34.95%,"4,217"
COLUMBIA,"BROBSON, KEVIN",REP,65.05%,"7,848"
CRAWFORD,"MCLAUGHLIN, MARIA",DEM,36.84%,"6,135"
CRAWFORD,"BROBSON, KEVIN",REP,63.16%,"10,519"
CUMBERLAND,"MCLAUGHLIN, MARIA",DEM,41.99%,"23,795"
CUMBERLAND,"BROBSON, KEVIN",REP,58.01%,"32,868"
DAUPHIN,"MCLAUGHLIN, MARIA",DEM,48.24%,"28,998"
DAUPHIN,"BROBSON, KEVIN",REP,51.76%,"31,113"
DELAWARE,"MCLAUGHLIN, MARIA",DEM,55.08%,"78,741"
DELAWARE,"BROBSON, KEVIN",REP,44.92%,"64,207"
ELK,"MCLAUGHLIN, MARIA",DEM,34.32%,"2,503"
ELK,"BROBSON, KEVIN",REP,65.68%,"4,790"
ERIE,"MCLAUGHLIN, MARIA",DEM,57.27%,"38,575"
ERIE,"BROBSON, KEVIN",REP,42.73%,"28,776"
FAYETTE,"MCLAUGHLIN, MARIA",DEM,43.35%,"9,912"
FAYETTE,"BROBSON, KEVIN",REP,56.65%,"12,953"
FOREST,"MCLAUGHLIN, MARIA",DEM,31.89%,471
FOREST,"BROBSON, KEVIN",REP,68.11%,"1,006"
FRANKLIN,"MCLAUGHLIN, MARIA",DEM,27.14%,"8,039"
FRANKLIN,"BROBSON, KEVIN",REP,72.86%,"21,586"
FULTON,"MCLAUGHLIN, MARIA",DEM,17.52%,537
