,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
0,ADAMS,"TORSELLA, JOSEPH M",DEM,29.48%,"16,418",6070,10210,138
1,ADAMS,"GARRITY, STACY L",REP,66.60%,"37,087",29017,7657,413
2,ADAMS,"SOLOSKI, JOSEPH P",LIB,2.49%,"1,385",972,393,20
3,ADAMS,"RUNKLE, TIMOTHY",GRN,1.43%,795,458,327,10
4,ALLEGHENY,"TORSELLA, JOSEPH M",DEM,57.49%,"404,138",144007,252686,7445
5,ALLEGHENY,"GARRITY, STACY L",REP,38.54%,"270,964",194960,70318,5686
6,ALLEGHENY,"SOLOSKI, JOSEPH P",LIB,2.44%,"17,176",10838,5925,413
7,ALLEGHENY,"RUNKLE, TIMOTHY",GRN,1.52%,"10,711",4479,6005,227
8,ARMSTRONG,"TORSELLA, JOSEPH M",DEM,24.39%,"8,756",4777,3890,89
9,ARMSTRONG,"GARRITY, STACY L",REP,72.07%,"25,875",22704,2861,310
10,ARMSTRONG,"SOLOSKI, JOSEPH P",LIB,2.81%,"1,009",809,185,15
11,ARMSTRONG,"RUNKLE, TIMOTHY",GRN,0.73%,262,171,89,2
12,BEAVER,"TORSELLA, JOSEPH M",DEM,41.08%,"38,214",18324,19214,676
13,BEAVER,"GARRITY, STACY L",REP,55.13%,"51,292",42049,8510,733
14,BEAVER,"SOLOSKI, JOSEPH P",LIB,2.60%,"2,421",1796,575,50
15,BEAVER,"RUNKLE, TIMOTHY",GRN,1.19%,"1,106",674,413,19
16,BEDFORD,"TORSELLA, JOSEPH M",DEM,16.01%,"4,351",1996,2305,50
17,BEDFORD,"GARRITY, STACY L",REP,81.96%,"22,272",18878,3051,343
18,BEDFORD,"SOLOSKI, JOSEPH P",LIB,1.41%,383,303,77,3
19,BEDFORD,"RUNKLE, TIMOTHY",GRN,0.61%,167,101,63,3
20,BERKS,"TORSELLA, JOSEPH M",DEM,43.87%,"88,616",42531,44175,1910
21,BERKS,"GARRITY, STACY L",REP,52.26%,"105,570",85891,17746,1933
22,BERKS,"SOLOSKI, JOSEPH P",LIB,2.45%,"4,958",3597,1230,131
23,BERKS,"RUNKLE, TIMOTHY",GRN,1.42%,"2,871",1691,1116,64
24,BLAIR,"TORSELLA, JOSEPH M",DEM,26.37%,"16,606",7780,8625,201
25,BLAIR,"GARRITY, STACY L",REP,70.59%,"44,464",36436,7476,552
26,BLAIR,"SOLOSKI, JOSEPH P",LIB,2.03%,"1,279",954,312,13
27,BLAIR,"RUNKLE, TIMOTHY",GRN,1.01%,636,358,268,10
28,BRADFORD,"TORSELLA, JOSEPH M",DEM,21.87%,"6,465",3364,3030,71
29,BRADFORD,"GARRITY, STACY L",REP,75.00%,"22,175",18734,3100,341
30,BRADFORD,"SOLOSKI, JOSEPH P",LIB,2.24%,661,507,145,9
31,BRADFORD,"RUNKLE, TIMOTHY",GRN,0.90%,265,155,101,9
32,BUCKS,"TORSELLA, JOSEPH M",DEM,49.10%,"191,554",73934,114913,2707
33,BUCKS,"GARRITY, STACY L",REP,47.97%,"187,154",141181,43061,2912
34,BUCKS,"SOLOSKI, JOSEPH P",LIB,1.96%,"7,662",5153,2387,122
35,BUCKS,"RUNKLE, TIMOTHY",GRN,0.96%,"3,753",1898,1785,70
36,BUTLER,"TORSELLA, JOSEPH M",DEM,30.75%,"34,148",15012,18695,441
37,BUTLER,"GARRITY, STACY L",REP,65.75%,"73,020",59908,12172,940
38,BUTLER,"SOLOSKI, JOSEPH P",LIB,2.55%,"2,830",2146,637,47
39,BUTLER,"RUNKLE, TIMOTHY",GRN,0.95%,"1,056",654,379,23
40,CAMBRIA,"TORSELLA, JOSEPH M",DEM,34.43%,"23,946",12931,10704,311
41,CAMBRIA,"GARRITY, STACY L",REP,62.84%,"43,698",37117,6108,473
42,CAMBRIA,"SOLOSKI, JOSEPH P",LIB,1.90%,"1,322",990,312,20
43,CAMBRIA,"RUNKLE, TIMOTHY",GRN,0.83%,575,348,213,14
44,CAMERON,"TORSELLA, JOSEPH M",DEM,25.44%,611,295,309,7
45,CAMERON,"GARRITY, STACY L",REP,71.32%,"1,713",1319,375,19
46,CAMERON,"SOLOSKI, JOSEPH P",LIB,2.54%,61,49,11,1
47,CAMERON,"RUNKLE, TIMOTHY",GRN,0.71%,17,11,6,0
48,CARBON,"TORSELLA, JOSEPH M",DEM,33.56%,"11,037",5252,5634,151
49,CARBON,"GARRITY, STACY L",REP,63.24%,"20,798",17428,3073,297
50,CARBON,"SOLOSKI, JOSEPH P",LIB,2.19%,721,553,152,16
51,CARBON,"RUNKLE, TIMOTHY",GRN,1.00%,329,200,125,4
52,CENTRE,"TORSELLA, JOSEPH M",DEM,48.33%,"36,866",13612,22988,266
53,CENTRE,"GARRITY, STACY L",REP,47.59%,"36,303",28187,7817,299
54,CENTRE,"SOLOSKI, JOSEPH P",LIB,2.59%,"1,978",1268,685,25
